Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
US,US-FL,FL-27,3864700,3400950,274047500,6724625,25545800,88425000,25662000,1100130000,14763200,16347750,35826000,2937200,13835750,5758400,113547000,5333250
US,US-FL,FL-3,2515100,2213300,178346000,4376275,16624800,57546000,16700500,715950000,9607700,10638900,23315250,1911500,9004000,3747600,73893000,3470850
US,US-FL,FL-4,3133200,2757200,222172750,5451700,20710200,71687000,20804000,891885000,11968700,13253325,29044500,2381200,11216750,4668400,92052000,4323750
US,US-FL,FL-5,1492300,1313250,105821750,2596675,9864400,34145000,9909000,424807500,5700700,6312600,13833750,1134200,5342500,2223600,43845000,2059500
US,US-FL,FL-6,2578800,2269400,182865500,4487175,17046100,59004000,17123500,734092500,9851200,10908525,23905500,1959900,9232250,3842400,75765000,3558750
US,US-FL,FL-7,2869800,2525400,203495250,4993400,18969200,65660000,19055500,816907500,10962500,12139125,26602500,2181000,10273750,4276000,84315000,3960300
US,US-FL,FL-8,2265400,1993500,160636250,3941725,14974000,51831000,15042000,644857500,8653700,9582450,21000000,1721650,8110000,3375400,66555000,3126150
US,US-FL,FL-9,3140200,2763350,222669000,5463875,20756500,71847000,20850500,893880000,11995400,13282875,29109000,2386500,11241750,4678800,92259000,4333350
US,US-GA,GA-1,2943200,2590050,208704000,5121200,19454700,67341000,19543000,837817500,11243100,12449850,27283500,2236850,10536750,4385400,86472000,4061700
US,US-GA,GA-10,2793100,2457950,198060750,4860050,18462600,63907000,18546500,795090000,10669700,11814900,25892250,2122800,9999500,4161800,82062000,3854550
US,US-GA,GA-11,2983600,2625550,211565750,5191425,19721500,68264000,19811000,849307500,11397300,12620550,27657750,2267500,10681250,4445600,87657000,4117350
US,US-GA,GA-12,2861800,2518350,202927000,4979450,18916200,65477000,19002000,814627500,10931900,12105225,26528250,2174950,10245000,4264000,84078000,3949200
US,US-GA,GA-13,5313500,4675850,376776750,9245400,35121900,121572000,35281500,1512525000,20297400,22475925,49255500,4038200,19022250,7917000,156108000,7332600
US,US-GA,GA-14,2465600,2169700,174832250,4290050,16297300,56412000,16371500,701842500,9418400,10429275,22855500,1873800,8826750,3673600,72438000,3402450
US,US-GA,GA-2,2883500,2537500,204469750,5017300,19060000,65975000,19146500,820822500,11015000,12197250,26730000,2191450,10323000,4296400,84717000,3979200
US,US-GA,GA-3,3095600,2724100,219505750,5386275,20461600,70826000,20554500,881182500,11825000,13094175,28695750,2352600,11082000,4612400,90948000,4271850
US,US-GA,GA-4,3578900,3149400,253778500,6227250,23656400,81885000,23764000,1018762500,13671300,15138675,33176250,2719950,12812500,5332600,105147000,4938900
US,US-GA,GA-5,7397700,6509950,524569250,12871950,48898600,169259000,49120500,2105820000,28259100,31292175,68576250,5622250,26483750,11022600,217344000,10208850
US,US-GA,GA-6,5764600,5072800,408764250,10030325,38103700,131893000,38276500,1640940000,22020600,24384075,53437500,4381050,20637000,8589200,169362000,7955100
US,US-GA,GA-7,4851800,4269550,344040250,8442100,32070300,111009000,32216000,1381110000,18533800,20523075,44976000,3687350,17369500,7229200,142545000,6695400
US,US-GA,GA-8,2196700,1933100,155767000,3822225,14520100,50260000,14586000,625305000,8391300,9291975,20363250,1669500,7864250,3273000,64539000,3031500
US,US-GA,GA-9,2894000,2546700,205212750,5035550,19129300,66214000,19216000,823800000,11055000,12241575,26827500,2199450,10360500,4312000,85026000,3993750
US,US-HI,HI-1,622000,547300,44103000,1082200,4111100,14230000,4130000,177045000,2375900,2630850,5765250,472700,2226500,926800,18273000,858300
US,US-HI,HI-2,541800,476750,38417750,942700,3581200,12396000,3597500,154222500,2069600,2291775,5022000,411750,1939500,807200,15918000,747600
US,US-IA,IA-1,6115400,5381500,433640500,10640725,40422600,139920000,40606000,1740802500,23360700,25868025,56689500,4647700,21893000,9111800,179670000,8439150
US,US-IA,IA-2,5702700,5018350,404377750,9922675,37694800,130478000,37866000,1623330000,21784300,24122400,52863750,4334050,20415750,8497000,167544000,7869750
US,US-IA,IA-3,7189000,6326350,509775250,12508950,47519600,164485000,47735500,2046435000,27462200,30409650,66642750,5463650,25736750,10711600,211215000,9920850
US,US-IA,IA-4,4527200,3983950,321026250,7877400,29925000,103583000,30061000,1288725000,17294000,19150200,41967750,3440700,16207500,6745600,133011000,6247650
US,US-ID,ID-1,683900,601800,48494250,1189950,4520500,15647000,4541000,194677500,2612400,2892825,6339750,519750,2448250,1019000,20094000,943800
US,US-ID,ID-2,710400,625100,50371250,1236025,4695500,16253000,4717000,202207500,2713600,3004800,6585000,539850,2543000,1058400,20871000,980250
US,US-IL,IL-1,814500,716800,57758250,1417275,5384000,18636000,5408500,231862500,3111500,3445425,7551000,619050,2916000,1213600,23931000,1124100
US,US-IL,IL-10,855200,752600,60643250,1488075,5653000,19567000,5678500,243442500,3266900,3617550,7927500,649950,3061750,1274200,25125000,1180200
US,US-IL,IL-11,929000,817500,65872000,1616375,6140400,21254000,6168000,264435000,3548600,3929475,8611500,706000,3325750,1384200,27294000,1281900
US,US-IL,IL-12,930100,818500,65955750,1618425,6148200,21281000,6176000,264772500,3553100,3934425,8622000,706900,3330000,1385800,27327000,1283550
US,US-IL,IL-13,1229600,1082000,87188750,2139450,8127400,28133000,8164500,350010000,4697000,5201100,11397750,934450,4401750,1832000,36126000,1696800
US,US-IL,IL-14,1513500,1331900,107322250,2633500,10004200,34629000,10049500,430830000,5781600,6402075,14030250,1150250,5418250,2255200,44466000,2088600
US,US-IL,IL-15,647000,569400,45881500,1125850,4276900,14804000,4296500,184185000,2471700,2736975,5997750,491750,2316500,964000,19011000,892950
US,US-IL,IL-16,807400,710500,57249750,1404800,5336600,18472000,5361000,229822500,3084100,3415125,7484250,613600,2890250,1203000,23721000,1114200
US,US-IL,IL-17,844200,742850,59859250,1468825,5579900,19314000,5605000,240300000,3224700,3570825,7825500,641550,3022000,1257800,24801000,1164900
US,US-IL,IL-18,628700,553250,44579250,1093900,4155500,14384000,4174500,178957500,2401500,2659275,5827500,477800,2250750,936800,18471000,867600
US,US-IL,IL-2,958600,843550,67972750,1667925,6336200,21932000,6365000,272872500,3661800,4054800,8886000,728500,3431750,1428200,28164000,1322850
US,US-IL,IL-3,1159200,1020050,82195500,2016925,7662000,26521000,7697000,329962500,4428000,4903200,10745250,880950,4149750,1727200,34056000,1599600
US,US-IL,IL-4,1143000,1005850,81049500,1988800,7555200,26152000,7589500,325365000,4366200,4834875,10595250,868650,4092000,1703000,33582000,1577400
US,US-IL,IL-5,1253400,1103000,88880250,2180950,8285100,28678000,8322500,356797500,4788100,5301975,11619000,952600,4487250,1867600,36825000,1729650
US,US-IL,IL-6,1117400,983300,79235750,1944300,7386100,25566000,7419500,318082500,4268500,4726650,10358250,849250,4000250,1665000,32829000,1542000
US,US-IL,IL-7,2061800,1814400,146201500,3587525,13628400,47174000,13690500,586912500,7876000,8721375,19113000,1566950,7381250,3072000,60576000,2845200
US,US-IL,IL-8,1295300,1139850,91849250,2253800,8561900,29636000,8601000,368715000,4948000,5479125,12007500,984400,4637250,1930000,38055000,1787550
US,US-IL,IL-9,1386800,1220400,98337500,2413025,9166700,31730000,9208500,394762500,5297600,5866125,12855750,1053950,4964750,2066400,40743000,1913850
US,US-IN,IN-1,995800,876300,70611000,1732650,6582100,22784000,6612000,283462500,3803900,4212150,9231000,756800,3565000,1483800,29256000,1374150
US,US-IN,IN-2,872200,767500,61845500,1517575,5765000,19955000,5791000,248272500,3331700,3689250,8085000,662850,3122250,1299600,25623000,1203600
US,US-IN,IN-3,868400,764200,61579000,1511025,5740200,19869000,5766000,247200000,3317300,3673350,8050500,660000,3109000,1294000,25515000,1198350
US,US-IN,IN-4,893700,786500,63374250,1555075,5907500,20448000,5934500,254407500,3414000,3780450,8284500,679250,3199500,1331600,26259000,1233300
US,US-IN,IN-5,1458900,1283850,103453750,2538575,9643600,33381000,9687500,415305000,5573200,6171300,13524750,1108800,5223000,2173800,42864000,2013300
US,US-IN,IN-6,880000,774400,62398750,1531150,5816600,20134000,5843000,250492500,3361500,3722250,8157000,668800,3150250,1311200,25854000,1214400
US,US-IN,IN-7,934500,822400,66266750,1626075,6177200,21382000,6205000,266017500,3569900,3953025,8663250,710250,3345500,1392400,27456000,1289700
US,US-IN,IN-8,745000,655550,52825250,1296225,4924200,17045000,4946500,212062500,2845800,3151200,6906000,566150,2667000,1110000,21888000,1028100
US,US-IN,IN-9,1102100,969850,78148250,1917600,7284700,25215000,7318000,313717500,4209900,4661775,10216500,837600,3945500,1642000,32379000,1520850
US,US-KS,KS-1,912000,802600,64673000,1586950,6028600,20868000,6056000,259620000,3484000,3857925,8454750,693150,3265000,1359000,26796000,1258650
US,US-KS,KS-2,1425600,1254550,101089500,2480550,9423200,32618000,9466000,405810000,5445800,6030300,13215000,1083450,5103750,2124200,41883000,1967400
US,US-KS,KS-3,2001600,1761450,141936750,3482875,13230900,45798000,13291000,569790000,7646300,8466975,18555000,1521250,7166000,2982400,58809000,2762250
US,US-KS,KS-4,1061900,934450,75298500,1847700,7019100,24296000,7051000,302280000,4056400,4491825,9843750,807050,3801500,1582200,31197000,1465350
US,US-KY,KY-1,1425500,1254400,101079000,2480300,9422300,32614000,9465000,405772500,5445200,6029700,13214250,1083350,5103250,2124000,41880000,1967100
US,US-KY,KY-2,1842100,1621050,130622500,3205225,12176200,42147000,12231500,524370000,7036800,7792050,17076000,1400000,6594750,2744800,54120000,2542050
US,US-KY,KY-3,2169500,1909150,153837250,3774875,14340200,49637000,14405500,617565000,8287400,9176850,20111250,1648800,7766750,3232600,63738000,2993850
US,US-KY,KY-4,2055600,1808950,145762500,3576750,13587500,47032000,13649000,585150000,7852400,8695200,19055250,1562250,7359000,3062800,60393000,2836800
US,US-KY,KY-5,1464000,1288350,103815250,2547425,9677300,33497000,9721000,416752500,5592600,6192900,13572000,1112650,5241250,2181400,43014000,2020350
US,US-KY,KY-6,2424000,2133150,171888750,4217825,16022900,55462000,16095500,690030000,9259800,10253700,22470750,1842250,8678000,3611800,71217000,3345150
US,US-LA,LA-1,854400,751900,60587250,1486700,5647800,19549000,5673500,243217500,3263900,3614250,7920750,649350,3058750,1273000,25104000,1179150
US,US-LA,LA-2,788100,693500,55882750,1371250,5209200,18031000,5233000,224332500,3010500,3333600,7305750,598950,2821250,1174200,23154000,1087500
US,US-LA,LA-3,603000,530600,42755500,1049150,3985500,13796000,4003500,171637500,2303300,2550525,5589000,458250,2158500,898400,17715000,832050
US,US-LA,LA-4,540300,475450,38310250,940050,3571200,12361000,3587500,153795000,2063800,2285325,5008500,410600,1934250,805000,15873000,745500
US,US-LA,LA-5,481200,423450,34122500,837300,3180800,11010000,3195000,136980000,1838200,2035500,4461000,365700,1722750,717000,14139000,664050
US,US-LA,LA-6,619800,545450,43952750,1078525,4097100,14182000,4115500,176445000,2367800,2621925,5745750,471100,2219000,923600,18210000,855450
US,US-MA,MA-1,1087100,956650,77088000,1891600,7185900,24873000,7218500,309465000,4152800,4598550,10077750,826200,3892000,1619800,31941000,1500300
US,US-MA,MA-2,986600,868250,69963250,1716775,6521700,22575000,6551500,280860000,3769000,4173525,9146250,749850,3532250,1470200,28989000,1361550
US,US-MA,MA-3,1085200,955000,76954750,1888325,7173500,24830000,7206000,308925000,4145600,4590600,10060500,824800,3885250,1617000,31884000,1497600
US,US-MA,MA-4,1179200,1037750,83619500,2051875,7794700,26981000,7830000,335677500,4504700,4988175,10931250,896200,4221750,1757000,34647000,1627350
US,US-MA,MA-5,1390100,1223250,98570500,2418750,9188400,31805000,9230000,395700000,5310100,5880000,12885750,1056450,4976500,2071200,40842000,1918350
US,US-MA,MA-6,1107800,974850,78552750,1927550,7322400,25346000,7355500,315337500,4231700,4685925,10269000,841900,3965750,1650600,32547000,1528800
US,US-MA,MA-7,1212300,1066850,85967250,2109475,8013600,27738000,8050000,345105000,4631200,5128200,11238750,921400,4340250,1806400,35619000,1673100
US,US-MA,MA-8,1895200,1667750,134385750,3297575,12527000,43361000,12584000,539475000,7239500,8016525,17568000,1440300,6784750,2823800,55680000,2615250
US,US-MA,MA-9,1136200,999900,80570750,1977050,7510600,25997000,7544500,323445000,4340400,4806300,10533000,863550,4067750,1693000,33384000,1567950
US,US-MD,MD-1,676200,595050,47950250,1176600,4469800,15472000,4490000,192487500,2583100,2860350,6268500,513900,2420750,1007600,19866000,933150
US,US-MD,MD-2,903300,794950,64055000,1571800,5971000,20668000,5998000,257137500,3450700,3821100,8373750,686550,3234000,1346000,26541000,1246650
US,US-MD,MD-3,816000,718050,57861750,1419825,5393700,18670000,5418000,232282500,3117100,3451650,7564500,620150,2921250,1215800,23973000,1126050
US,US-MD,MD-4,747600,657900,53011750,1300800,4941600,17105000,4964000,212812500,2855800,3162300,6930000,568150,2676250,1114000,21963000,1031700
US,US-MD,MD-5,1031300,907550,73130750,1794500,6817000,23597000,6848000,293572500,3939600,4362450,9560250,783800,3692000,1536600,30300000,1423200
US,US-MD,MD-6,1026900,903650,72814500,1786725,6787500,23495000,6818500,292305000,3922600,4343625,9519000,780400,3676250,1530000,30168000,1417050
US,US-MD,MD-7,587700,517150,41671500,1022550,3884500,13446000,3902000,167287500,2244900,2485800,5448000,446650,2103750,875600,17265000,811050
US,US-MD,MD-8,1459400,1284250,103483000,2539275,9646400,33390000,9690000,415417500,5574700,6173100,13528500,1109100,5224500,2174400,42876000,2013900
US,US-ME,ME-1,4476400,3939250,317423250,7788975,29589200,102421000,29723500,1274257500,17099900,18935250,41496750,3402100,16025500,6669800,131517000,6177450
US,US-ME,ME-2,4012400,3530900,284519750,6981575,26522000,91804000,26642500,1142175000,15327400,16972500,37194750,3049450,14364500,5978400,117885000,5537100
US,US-MI,MI-1,1926300,1695100,136591500,3351700,12732600,44073000,12790500,548332500,7358300,8148075,17856750,1463950,6896000,2870200,56595000,2658300
US,US-MI,MI-10,2004300,1763750,142123750,3487450,13248300,45858000,13308500,570540000,7656400,8478150,18579750,1523250,7175250,2986400,58887000,2765850
US,US-MI,MI-11,3787900,3333400,268603000,6591025,25038300,86668000,25152000,1078275000,14469900,16023000,35114250,2878850,13560750,5644000,111291000,5227350
US,US-MI,MI-12,3288900,2894250,233218500,5722750,21739900,75251000,21838500,936225000,12563700,13912200,30488250,2499600,11774500,4900600,96630000,4538700
US,US-MI,MI-13,2995700,2636250,212428250,5212600,19801900,68543000,19891500,852765000,11443700,12672000,27770250,2276750,10724750,4463600,88014000,4134150
US,US-MI,MI-14,3627600,3192300,257234750,6312075,23978600,83000000,24087500,1032637500,13857500,15344850,33627750,2757000,12987000,5405200,106581000,5006100
US,US-MI,MI-2,2262500,1990950,160431000,3936675,14954900,51765000,15022500,644032500,8642600,9570225,20973000,1719450,8099500,3371000,66471000,3122250
US,US-MI,MI-3,2900800,2552750,205699250,5047475,19174600,66371000,19261500,825757500,11081200,12270600,26890500,2204650,10385000,4322200,85227000,4003200
US,US-MI,MI-4,1775500,1562450,125901750,3089400,11736200,40624000,11789500,505417500,6782500,7510425,16458750,1349400,6356250,2645600,52164000,2450250
US,US-MI,MI-5,2289400,2014650,162338250,3983475,15132600,52380000,15201500,651690000,8745300,9684000,21222000,1739900,8196000,3411200,67260000,3159300
US,US-MI,MI-6,2214300,1948550,157013500,3852825,14636300,50662000,14702500,630315000,8458500,9366300,20526000,1682850,7927000,3299200,65055000,3055650
US,US-MI,MI-7,2030100,1786450,143952250,3532325,13418800,46448000,13479500,577882500,7754900,8587200,18819000,1542850,7267750,3024800,59643000,2801550
US,US-MI,MI-8,2612700,2299200,185270000,4546175,17270300,59780000,17348500,743745000,9980700,11051925,24220500,1985700,9353750,3893000,76764000,3605550
US,US-MI,MI-9,2702100,2377900,191609000,4701725,17861200,61825000,17942000,769192500,10322200,11430075,25048500,2053650,9673750,4026200,79389000,3729000
US,US-MN,MN-1,2161800,1902400,153296500,3761600,14289800,49463000,14354500,615390000,8258200,9144600,20040000,1643000,7739500,3221200,63516000,2983350
US,US-MN,MN-2,2258600,1987600,160159000,3930000,14929500,51677000,14997500,642937500,8627900,9553950,20937750,1716550,8085750,3365400,66357000,3116850
US,US-MN,MN-3,1790900,1575950,126990500,3116100,11837600,40975000,11891500,509790000,6841100,7575375,16601250,1361050,6411250,2668400,52617000,2471400
US,US-MN,MN-4,2199000,1935150,155932000,3826275,14535500,50313000,14601500,625972500,8400200,9301800,20385000,1671250,7872500,3276600,64608000,3034650
US,US-MN,MN-5,3734800,3286600,264831750,6498475,24686800,85451000,24799000,1063140000,14266800,15798000,34621500,2838400,13370500,5564800,109728000,5154000
US,US-MN,MN-6,1422800,1252100,100893000,2475725,9404900,32554000,9447500,405022500,5435200,6018600,13189500,1081350,5093750,2120000,41802000,1963500
US,US-MN,MN-7,1202600,1058250,85274750,2092475,7949000,27515000,7985000,342322500,4593800,5086875,11148000,913950,4305250,1791800,35331000,1659600
US,US-MN,MN-8,1281700,1127900,90884000,2230125,8471900,29325000,8510500,364845000,4896000,5421525,11881500,974100,4588500,1909800,37656000,1768650
US,US-MO,MO-1,2436400,2144050,172767000,4239375,16104800,55745000,16178000,693555000,9307200,10306050,22585500,1851700,8722500,3630200,71583000,3362250
US,US-MO,MO-2,1596100,1404550,113179750,2777225,10550300,36519000,10598000,454350000,6097100,6751500,14796000,1213050,5714000,2378200,46893000,2202600
US,US-MO,MO-3,1115700,981850,79116250,1941375,7375000,25528000,7408500,317602500,4262100,4719525,10342500,847950,3994250,1662400,32781000,1539750
US,US-MO,MO-4,1148000,1010200,81403250,1997475,7588100,26266000,7622500,326782500,4385300,4855950,10641750,872450,4109750,1710400,33729000,1584150
US,US-MO,MO-5,1730500,1522850,122710250,3011075,11438700,39594000,11490500,492607500,6610500,7320075,16041750,1315200,6195250,2578400,50841000,2388150
US,US-MO,MO-6,1071000,942450,75943000,1863500,7079200,24504000,7111500,304867500,4091100,4530225,9927750,813950,3834000,1595800,31464000,1477950
US,US-MO,MO-7,1221600,1075000,86623500,2125575,8074800,27950000,8111500,347737500,4666500,5167350,11324250,928400,4373250,1820200,35892000,1685850
US,US-MO,MO-8,888600,781950,63009250,1546125,5873500,20331000,5900000,252945000,3394400,3758700,8237250,675300,3181000,1324000,26106000,1226250
US,US-MS,MS-1,890700,783800,63156500,1549750,5887200,20378000,5914000,253537500,3402300,3767475,8256750,676900,3188500,1327000,26166000,1229100
US,US-MS,MS-2,698100,614350,49504500,1214750,4614600,15973000,4635500,198727500,2666900,2953125,6471750,530600,2499250,1040200,20511000,963450
US,US-MS,MS-3,989800,871000,70186250,1722250,6542500,22646000,6572000,281752500,3781000,4186800,9175500,752250,3543500,1474800,29079000,1365900
US,US-MS,MS-4,1005500,884900,71303500,1749650,6646700,23007000,6677000,286237500,3841200,4253475,9321750,764200,3599750,1498200,29544000,1387650
US,US-MT,MT-AT LARGE,8202800,7218500,581663500,14272950,54220800,187681000,54467000,2335020000,31334900,34698000,76040250,6234150,29366250,12222200,240999000,11319900
US,US-NC,NC-1,2958500,2603500,209787750,5147800,19555700,67691000,19644500,842167500,11301500,12514500,27425250,2248450,10591500,4408200,86922000,4082700
US,US-NC,NC-10,2362700,2079200,167541750,4111175,15617700,54059000,15688500,672577500,9025700,9994350,21902250,1795700,8458500,3520400,69417000,3260550
US,US-NC,NC-11,3097000,2725350,219606500,5388725,20471000,70859000,20564000,881587500,11830400,13100175,28709250,2353700,11087250,4614400,90990000,4273800
US,US-NC,NC-12,5173200,4552350,366828000,9001275,34194500,118362000,34349500,1472587500,19761400,21882450,47955000,3931600,18520000,7708000,151986000,7138950
US,US-NC,NC-13,2724500,2397500,193191500,4740550,18008700,62336000,18090500,775545000,10407400,11524425,25255500,2070600,9753500,4059400,80046000,3759750
US,US-NC,NC-2,4046500,3560950,286939750,7040975,26747600,92585000,26869000,1151887500,15457800,17116875,37511250,3075350,14486500,6029400,118887000,5584200
US,US-NC,NC-3,2452600,2158250,173912250,4267475,16211500,56115000,16285000,698152500,9368800,10374375,22735500,1863950,8780250,3654400,72057000,3384600
US,US-NC,NC-4,3874400,3409500,274735250,6741500,25609900,88647000,25726000,1102890000,14800300,16388775,35916000,2944550,13870500,5772800,113832000,5346750
US,US-NC,NC-5,2949000,2595150,209115250,5131300,19493100,67474000,19581500,839467500,11265300,12474375,27337500,2241250,10557500,4394000,86643000,4069650
US,US-NC,NC-6,3010500,2649250,213475500,5238300,19899500,68881000,19990000,856972500,11500200,12734475,27907500,2288000,10777750,4485600,88449000,4154550
US,US-NC,NC-7,3181700,2799900,225616000,5536200,21031200,72798000,21126500,905707500,12154200,13458675,29494500,2418100,11390500,4740800,93480000,4390800
US,US-NC,NC-8,3490300,3071500,247500000,6073200,23071200,79859000,23176000,993562500,13333100,14764125,32355750,2652650,12495500,5200600,102546000,4816650
US,US-NC,NC-9,3230900,2843250,229106500,5621850,21356600,73924000,21453500,919717500,12342200,13666875,29950500,2455500,11566750,4814200,94926000,4458750
US,US-ND,ND-AT LARGE,1293300,1138100,91707250,2250325,8548600,29590000,8587500,368145000,4940400,5470650,11988750,982900,4630000,1927000,37998000,1784700
US,US-NE,NE-1,619700,545350,43945500,1078350,4096500,14180000,4115000,176415000,2367400,2621475,5745000,471000,2218750,923400,18207000,855300
US,US-NE,NE-2,1920000,1689600,136149250,3340850,12691400,43930000,12749000,546555000,7334500,8121750,17799000,1459200,6873750,2860800,56409000,2649600
US,US-NE,NE-3,402100,353900,28515250,699725,2658100,9201000,2670000,114472500,1536200,1701000,3727500,305600,1439750,599200,11814000,555000
US,US-NH,NH-1,3242700,2853550,229938500,5642275,21434100,74193000,21531500,923062500,12387000,13716525,30060000,2464450,11608750,4831600,95271000,4474950
US,US-NH,NH-2,2864700,2520900,203134250,4984550,18935500,65544000,19021500,815460000,10943100,12117600,26555250,2177150,10255500,4268400,84165000,3953250
US,US-NJ,NJ-1,1258500,1107450,89237500,2189725,8318400,28794000,8356000,358230000,4807300,5323275,11666250,956450,4505250,1875200,36975000,1736700
US,US-NJ,NJ-10,889900,783150,63104000,1548450,5882400,20361000,5909000,253327500,3399500,3764325,8249250,676350,3186000,1326000,26145000,1228050
US,US-NJ,NJ-11,1174600,1033700,83293250,2043850,7764300,26876000,7799500,334372500,4487100,4968675,10888500,892700,4205250,1750200,34512000,1621050
US,US-NJ,NJ-12,903300,794950,64055250,1571800,5971000,20668000,5998000,257145000,3450700,3821100,8373750,686550,3234000,1346000,26541000,1246650
US,US-NJ,NJ-2,1080100,950500,76590500,1879400,7139500,24713000,7172000,307462500,4126000,4568850,10012500,820900,3866750,1609400,31734000,1490550
US,US-NJ,NJ-3,1537700,1353200,109040500,2675650,10164400,35183000,10210500,437730000,5874100,6504600,14254500,1168700,5505000,2291200,45180000,2122050
US,US-NJ,NJ-4,889700,783000,63091750,1548150,5881200,20357000,5908000,253275000,3398800,3763650,8247750,676200,3185250,1325800,26142000,1227900
US,US-NJ,NJ-5,1026000,902850,72751750,1785200,6781700,23474000,6812500,292050000,3919200,4339875,9510750,779750,3673000,1528800,30144000,1415850
US,US-NJ,NJ-6,826500,727300,58605750,1438075,5463000,18910000,5488000,235267500,3157200,3496050,7661250,628150,2958750,1231400,24282000,1140600
US,US-NJ,NJ-7,1964300,1728550,139287250,3417850,12983900,44943000,13043000,559155000,7503600,8308875,18209250,1492850,7032250,2926800,57711000,2710650
US,US-NJ,NJ-8,1423500,1252700,100942250,2476925,9409500,32570000,9452000,405217500,5437900,6021525,13196250,1081900,5096250,2121000,41823000,1964400
US,US-NJ,NJ-9,1146900,1009300,81328000,1995650,7581100,26242000,7615500,326482500,4381200,4851450,10632000,871650,4106000,1709000,33696000,1582800
US,US-NM,NM-1,861500,758150,61091250,1499075,5694700,19712000,5720500,245242500,3291100,3644250,7986750,654750,3084250,1283600,25311000,1188900
US,US-NM,NM-2,1633100,1437100,115801250,2841550,10794600,37365000,10843500,464872500,6238300,6907875,15138750,1241150,5846500,2433200,47979000,2253600
US,US-NM,NM-3,748000,658250,53040750,1301525,4944300,17114000,4966500,212925000,2857400,3164025,6933750,568500,2677750,1114600,21975000,1032300
US,US-NV,NV-1,3772100,3319450,267480500,6563475,24933700,86306000,25047000,1073767500,14409500,15956025,34967250,2866800,13504250,5620400,110826000,5205450
US,US-NV,NV-2,2399300,2111400,170137250,4174850,15859700,54897000,15931500,682995000,9165500,10149225,22242000,1823500,8589750,3575000,70494000,3311100
US,US-NV,NV-3,3723200,3276450,264015000,6478425,24610600,85188000,24722500,1059855000,14222800,15749325,34514250,2829650,13329250,5547600,109389000,5138100
US,US-NV,NV-4,2112400,1858950,149792500,3675625,13963200,48332000,14026500,601327500,8069500,8935575,19582500,1605450,7562500,3147600,62064000,2915100
US,US-NY,NY-1,1314900,1157150,93242500,2288000,8691800,30086000,8731000,374310000,5023100,5562225,12189750,999350,4707500,1959200,38634000,1814550
US,US-NY,NY-10,1280700,1127000,90814250,2228400,8465400,29302000,8504000,364560000,4892300,5417325,11871750,973350,4585000,1908200,37626000,1767300
US,US-NY,NY-11,1720400,1513950,121993250,2993475,11371800,39363000,11423500,489727500,6571900,7277250,15948000,1307500,6159000,2563400,50544000,2374200
US,US-NY,NY-12,1393100,1225950,98785000,2424000,9208400,31874000,9250000,396562500,5321700,5892825,12914250,1058750,4987250,2075800,40929000,1922550
US,US-NY,NY-13,810500,713250,57472250,1410250,5357400,18544000,5381500,230715000,3096100,3428400,7513500,616000,2901500,1207600,23811000,1118550
US,US-NY,NY-14,1049100,923150,74389000,1825375,6934300,24003000,6966000,298627500,4007400,4437525,9724500,797300,3755750,1563200,30822000,1447650
US,US-NY,NY-15,843500,742300,59815750,1467775,5575800,19300000,5601000,240120000,3222300,3568200,7819500,641100,3020000,1256800,24783000,1164150
US,US-NY,NY-16,1103000,970650,78212500,1919200,7290700,25236000,7324000,313972500,4213400,4665600,10224750,838250,3948750,1643400,32406000,1522050
US,US-NY,NY-17,975600,858550,69180000,1697550,6448700,22322000,6478000,277717500,3726800,4126800,9043500,741450,3492750,1453600,28662000,1346400
US,US-NY,NY-18,846800,745150,60044750,1473375,5597200,19374000,5622500,241042500,3234700,3581850,7849500,643550,3031500,1261600,24879000,1168500
US,US-NY,NY-19,1183300,1041300,83909500,2058975,7821800,27074000,7857500,336847500,4520300,5005425,10969500,899350,4236250,1763200,34767000,1633050
US,US-NY,NY-2,1227900,1080550,87071500,2136575,8116500,28095000,8153500,349537500,4690600,5194050,11382750,933200,4396000,1829600,36075000,1694550
US,US-NY,NY-20,836400,736050,59309750,1455350,5528700,19137000,5554000,238095000,3195100,3538050,7753500,635650,2994250,1246200,24573000,1154250
US,US-NY,NY-21,666500,586500,47260500,1159675,4405500,15249000,4425500,189720000,2546000,2819250,6178500,506550,2386000,993000,19581000,919800
US,US-NY,NY-22,1354500,1192000,96051000,2356900,8953600,30992000,8994000,385582500,5174400,5729700,12556500,1029450,4849250,2018200,39798000,1869300
US,US-NY,NY-23,677900,596550,48069250,1179525,4480900,15510000,4501000,192967500,2589500,2867475,6284250,515200,2426750,1010000,19917000,935550
US,US-NY,NY-24,1219000,1072700,86436500,2121000,8057300,27890000,8094000,346987500,4656400,5156175,11299500,926400,4363750,1816200,35814000,1682100
US,US-NY,NY-25,703500,619100,49885000,1224075,4650100,16096000,4671000,200257500,2687400,2975775,6521250,534650,2518500,1048200,20670000,970800
US,US-NY,NY-26,719400,633050,51009750,1251675,4755000,16459000,4776500,204772500,2748000,3042900,6668250,546700,2575250,1071800,21135000,992700
